estimator,safety_mode,condition,target_reached,final_theta_deg,T_reach,done_reason,runtime_s,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,safety_filter_active_count,safety_filter_active_ratio,feasible_candidate_found_count,safety_filter_failed_count,mean_action_delta_norm,max_action_delta_norm,mean_safety_filter_violation_score,max_safety_filter_violation_score,rms_filt_omega_error,rms_filt_theta_error,mean_innovation_norm,max_covariance_trace,ukf_failure_count,max_parameter_step_norm,final_m_hat,final_k_hat,final_b_r_hat
ukf_bias,safety_off,clean,True,90.14631852620893,2.06,target_reached,31.585457958979532,0.901936195275346,0.011336196866756854,1.6265414427484994,9.437799872804876,7.953188824150843,17,84,0.4265414427484995,6.4377998728048755,0,69,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.009393297832139972,0.014207406232261228,0.00725256292397194,0.0732,0,58.776089433099955,1.1727951997845183,342.00379700893745,10.272118103203592
ukf_bias,safety_off,noise,True,90.21661702349557,1.8000000000000014,target_reached,27.67265491595026,0.9510645018644888,0.011180485887213543,1.6432304871765282,10.694412413161114,7.839009270319567,16,66,0.44323048717652824,7.694412413161114,0,60,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.031172480681154014,0.013155256682231992,0.04327613675699076,0.0732,0,79.87121437949824,1.1863219518892882,280.1001962796519,24.330992929688875
ukf_bias,safety_off,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,33.515256999991834,0.9735819568672014,0.011203126888190473,1.649583390267675,10.789745762859031,8.23122992641531,22,90,0.44958339026767513,7.789745762859031,0,73,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.025704377134933364,0.007270342073692134,0.038332463325926824,0.0732,0,57.656916696841776,1.191593287737174,306.6073683083946,26.937248309490382
ukf_bias,safety_on,clean,False,40.83310865249212,nan,max_time,124.6413846249925,0.5714072195199982,0.0074095876497906055,0.8742448187115559,9.79075604642583,7.290811457836178,0,34,0.0,6.79075604642583,0,267,0.0,0.0,801,0.9987531172069826,774,27,1.0909655191864271,3.9286371615709283,0.07242214294592428,5.103053031400809,0.005087923755852298,0.01833326970791319,0.001806789835836664,0.0732,0,55.203799553072926,1.2158750407625163,361.9770763615901,20.748310806119036
ukf_bias,safety_on,noise,False,1.4072241377411678,nan,max_time,113.57795937499031,1.0,0.01653094135560662,3.297957607281195,42.96341419110296,7.287864526053214,205,163,2.097957607281195,39.96341419110296,0,267,0.0,0.0,801,0.9987531172069826,550,251,3.0055072336578825,18.025529777402976,23.400603767621526,1572.5089259460765,0.0245305100542587,0.010370648565221794,0.036094763844313836,0.0732,0,84.23989169777542,1.1952619115074514,366.9742548747519,44.99736548582814
ukf_bias,safety_on,noise_bias,False,46.86675672136673,nan,max_time,129.84854279097635,1.0,0.00856771205589546,0.9569434824134813,12.875332504400733,7.219118215188095,0,124,0.0,9.875332504400733,0,267,0.0,0.0,801,0.9987531172069826,683,118,1.9330010283627768,7.854652145587733,0.6995540032909774,96.60510177443383,0.023108265191581365,0.009232029322602645,0.034293109963887305,0.0732,0,56.697146085608885,1.2035869814498334,344.25460609623747,44.16720574045325
ukf,safety_off,clean,True,90.07009787395816,2.0400000000000005,target_reached,31.59923229191918,0.8111184269046335,0.011669650331210424,1.5965253584307277,11.071127432207373,8.066948274170816,16,76,0.3965253584307278,8.071127432207373,0,68,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,2.5836311186638035e-07,1.295269657589649e-07,0.0058015270473432655,0.07100000000000001,0,43.89790932609372,1.2000039888381289,450.0690928205778,17.297781182835216
ukf,safety_off,noise,True,90.0807949720804,4.809999999999942,target_reached,75.5986845419975,0.835940473245887,0.012114124115475688,1.6056666885130941,10.719480876047216,8.40124219802604,19,94,0.4056666885130942,7.719480876047216,76,161,0.4720496894409938,0.4720496894409938,0,0.0,0,0,0.0,0.0,0.0,0.0,0.02489627360868924,0.0015305467879185544,0.03697125609899814,0.07100000000000001,0,42.64812408880569,1.1398737608305947,413.83142610691056,43.20498920845349
ukf,safety_off,noise_bias,False,87.1992233147771,nan,max_time,125.4756787091028,0.7448238601850162,0.011891865875171936,1.5903331640142624,10.480888108762532,8.100711979433903,19,96,0.39033316401426243,7.480888108762532,100,267,0.37453183520599254,0.37453183520599254,0,0.0,0,0,0.0,0.0,0.0,0.0,0.029215853389202455,0.009692211505434627,0.03474620124149233,0.07100000000000001,0,39.212522148199064,1.378687722465736,614.716350396643,44.99999999999999
ukf,safety_on,clean,False,43.09858901680974,nan,max_time,117.80565891589504,0.8918603557990333,0.008389628357509782,1.1589065968379775,9.801304809549038,7.277662163615876,0,130,0.0,6.801304809549038,0,267,0.0,0.0,801,0.9987531172069826,681,120,2.211227952280049,8.46205146355863,0.36736929089910364,14.110122965467397,1.0266929180037375e-07,5.1470057778766855e-08,0.001180072519573492,0.07100000000000001,0,22.38917738363188,1.200000000294929,450.0000336696202,17.999499391569266
ukf,safety_on,noise,False,58.42485422438711,nan,max_time,122.44062245788518,0.7909386367578533,0.010052952122662107,0.9266085784957837,10.071661905667527,7.403167583364377,0,159,0.0,7.071661905667527,0,267,0.0,0.0,801,0.9987531172069826,651,150,2.036649122840882,7.386640456400694,0.3264542792141516,12.453992547417572,0.02355989177215476,0.0015133830175228203,0.03588631510552142,0.07100000000000001,0,51.76263943955655,1.2000378242637446,437.83398580543906,44.99999999999985
ukf,safety_on,noise_bias,False,42.19646033554855,nan,max_time,118.82996937492862,1.0,0.00975754257787853,1.24390528732008,9.565678009266765,7.096981979546294,6,136,0.04390528732008003,6.565678009266765,0,267,0.0,0.0,801,0.9987531172069826,666,135,2.270678431813056,13.73468504615838,0.813437878256322,32.694516811072845,0.029719590344999797,0.009708066500540924,0.034556718282029907,0.07100000000000001,0,36.4313108098463,1.208353622532071,568.592374046758,44.99999999999999
