method,condition,target_reached,final_theta_deg,T_reach,done_reason,solver_success_count,solver_failure_count,solver_failure_rate,mean_solve_time_s,max_solve_time_s,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max_excluding_top1,alpha_violation_duration_s,alpha_integrated_violation,alpha_slack_mean,alpha_slack_max,alpha_slack_active_count,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,F_tan_violation_count,F_rad_violation_count,force_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,runtime_s
baseline_cem,clean,True,90.14631852620893,2.06,target_reached,0,0,nan,nan,nan,84,0.9707977436361845,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,2.009551329326902,nan,nan,0,17,0.021314290471390853,0.2095827413663774,0.4265414427484995,0,0.0,0.0,0,0,0,3.9476771941154825,7.953676678512168,0.20497280707735124,34.63460445899909
baseline_cem,noise,True,90.21661702349557,1.8000000000000014,target_reached,0,0,nan,nan,nan,66,1.0121832361354404,4.652838501469261,6.990984807934064,7.694412413161114,7.289482274530659,0.66,1.832051657405147,nan,nan,0,16,0.024626794101253274,0.2657679427625952,0.44323048717652824,0,0.0,0.0,0,0,0,4.135895989672286,7.839479180319609,0.2065864296509824,30.70596333300091
baseline_cem,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,0,0,nan,nan,nan,90,1.0417673384874,4.4539534690138245,7.385774911270411,7.789745762859031,7.428684486058454,0.9,2.29188814467228,nan,nan,0,22,0.022813001406889397,0.20869699709417136,0.44958339026767513,0,0.0,0.0,0,0,0,3.8927163390804527,8.232650339736571,0.2055945477809949,37.4284022920001
alpha200_omega0,clean,True,90.00098337303204,3.139999999999977,target_reached,0,0,nan,nan,nan,73,0.6460521111996569,4.1734507206065246,7.432413387152994,7.896744286389515,7.836182593645759,0.73,2.0350641502789193,nan,nan,0,22,0.021383336682857558,0.20220498436934536,0.480062211413689,0,0.0,0.0,0,0,0,2.696212978282421,8.465669052466604,0.12631877022118357,54.18059754099886
alpha200_omega0,noise,True,90.07711562108182,1.9700000000000015,target_reached,0,0,nan,nan,nan,69,0.9908884848349083,5.9045350889246775,8.19777438067407,8.332585285676599,8.256828355323956,0.6900000000000001,1.9619591999731185,nan,nan,0,21,0.03147157919580895,0.3193133443107155,0.472177078601661,0,0.0,0.0,0,0,0,3.8527677536791773,8.52042398041967,0.2028500649195839,33.9991995420005
alpha200_omega0,noise_bias,True,90.12817354620306,1.8900000000000015,target_reached,0,0,nan,nan,nan,72,1.1475535896496232,5.647811314554774,6.285073491317639,6.796319889508748,6.476732015478005,0.72,2.180351820334284,nan,nan,0,25,0.02283104256986217,0.20353904521671282,0.44796378434767625,0,0.0,0.0,0,0,0,4.120231800315714,8.127035660368447,0.2070678338980057,32.41625345799912
nmpc_alpha_slack,clean,False,-76.73659338859886,nan,max_time,0,267,1.0,0.23251658414604512,0.2594276669988176,41,0.30002810127046575,0.04378416325114537,7.273391033732943,31.97197892467969,31.583002316846347,0.41000000000000003,2.4062253721891356,1.128088988974493,29.74225688848346,2369,76,0.052952310950766045,0.5823370665682774,1.002221319823976,0,0.0,0.0,0,0,0,2.007024201951776,6.9342205988500485,0.02706816386900573,66.58298591700077
nmpc_alpha_slack,noise,False,-78.93138663074133,nan,max_time,0,267,1.0,0.23291637986890085,0.26231675000053656,39,0.305664127678906,0.0,9.142422127933314,30.147808492543447,29.803105265038333,0.39,2.4514263039848263,1.1364977360290898,27.581112888504528,2209,78,0.05315798382867088,0.5731307709689298,1.0497988668340101,0,0.0,0.0,0,0,0,1.8813483882084612,7.1878968390417635,0.04548220298967067,68.27220675000171
nmpc_alpha_slack,noise_bias,False,-77.2889543616737,nan,max_time,0,267,1.0,0.23302105537818654,0.2836505840004975,43,0.28848235657319016,0.1352889414022558,7.1123070138448,31.808665335695608,31.40137315370044,0.43,2.313628499716985,1.1568219326175184,29.612775905712596,2218,75,0.05409036422737064,0.5592503076723848,1.027383578950577,0,0.0,0.0,0,0,0,1.9700709267912877,6.31258472105675,0.04376235099514587,68.01189754199913
