condition,seed,window_start,window_end,measurement_matches_state_index,action_transition_offset,dt,rk4_step_dynamics_used,max_true_dynamics_alignment_error,max_alpha_adjacent_omega_error,measurement_first_theta,true_first_theta,measurement_minus_true_rms
clean,101,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
clean,101,10,80,True,1,0.01,True,0.0,0.0,0.08896301775617635,0.08896301775617635,0.0
clean,102,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
clean,102,10,80,True,1,0.01,True,0.0,0.0,0.08896301775617635,0.08896301775617635,0.0
clean,103,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
clean,103,10,80,True,1,0.01,True,0.0,0.0,0.08896301775617635,0.08896301775617635,0.0
initial_theta_offset,101,0,70,True,1,0.01,True,0.0,0.0,0.02,0.02,0.0
initial_theta_offset,101,10,80,True,1,0.01,True,0.0,0.0,-0.024753921293503955,-0.024753921293503955,0.0
initial_theta_offset,102,0,70,True,1,0.01,True,0.0,0.0,0.02,0.02,0.0
initial_theta_offset,102,10,80,True,1,0.01,True,0.0,0.0,-0.024753921293503955,-0.024753921293503955,0.0
initial_theta_offset,103,0,70,True,1,0.01,True,0.0,0.0,0.02,0.02,0.0
initial_theta_offset,103,10,80,True,1,0.01,True,0.0,0.0,-0.024753921293503955,-0.024753921293503955,0.0
noise,101,0,70,True,1,0.01,True,0.0,0.0,0.11683939000014794,0.12,0.018935336018308165
noise,101,10,80,True,1,0.01,True,0.0,0.0,0.08286238217926598,0.08850465021334311,0.01965165537313668
noise,102,0,70,True,1,0.01,True,0.0,0.0,0.1225029175930286,0.12,0.018590299813261088
noise,102,10,80,True,1,0.01,True,0.0,0.0,0.09046311419080968,0.08913192623886165,0.017421394619514755
noise,103,0,70,True,1,0.01,True,0.0,0.0,0.12441339211666763,0.12,0.016204072585342
noise,103,10,80,True,1,0.01,True,0.0,0.0,0.09325785500689183,0.08879992731987367,0.01575056383161041
noise_bias,101,0,70,True,1,0.01,True,0.0,0.0,0.12683939000014793,0.12,0.02200347735589584
noise_bias,101,10,80,True,1,0.01,True,0.0,0.0,0.09178307092695694,0.08742533896103408,0.02233481810560707
noise_bias,102,0,70,True,1,0.01,True,0.0,0.0,0.1325029175930286,0.12,0.021977080409963684
noise_bias,102,10,80,True,1,0.01,True,0.0,0.0,0.0993761608793265,0.08804497292737848,0.02140087525731193
noise_bias,103,0,70,True,1,0.01,True,0.0,0.0,0.13441339211666764,0.12,0.0185139542622435
noise_bias,103,10,80,True,1,0.01,True,0.0,0.0,0.10217305601359325,0.08771512832657509,0.018337878491831397
stronger_noise,101,0,70,True,1,0.01,True,0.0,0.0,0.11367878000029588,0.12,0.03787067203661632
stronger_noise,101,10,80,True,1,0.01,True,0.0,0.0,0.07670744907806233,0.0879919851462166,0.03930331074627334
stronger_noise,102,0,70,True,1,0.01,True,0.0,0.0,0.1250058351860572,0.12,0.03718059962652217
stronger_noise,102,10,80,True,1,0.01,True,0.0,0.0,0.09175678926542398,0.08909441336152793,0.034842789239029504
stronger_noise,103,0,70,True,1,0.01,True,0.0,0.0,0.12882678423333527,0.12,0.032408145170684
stronger_noise,103,10,80,True,1,0.01,True,0.0,0.0,0.09742804835731825,0.08851219298328192,0.03150112766322082
mass_mismatch,101,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
mass_mismatch,101,10,80,True,1,0.01,True,0.0,0.0,0.03472607274865477,0.03472607274865477,0.0
mass_mismatch,102,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
mass_mismatch,102,10,80,True,1,0.01,True,0.0,0.0,0.03472607274865477,0.03472607274865477,0.0
mass_mismatch,103,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
mass_mismatch,103,10,80,True,1,0.01,True,0.0,0.0,0.03472607274865477,0.03472607274865477,0.0
parameter_mismatch_low_k,101,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
parameter_mismatch_low_k,101,10,80,True,1,0.01,True,0.0,0.0,0.08901184616540783,0.08901184616540783,0.0
parameter_mismatch_low_k,102,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
parameter_mismatch_low_k,102,10,80,True,1,0.01,True,0.0,0.0,0.08901184616540783,0.08901184616540783,0.0
parameter_mismatch_low_k,103,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
parameter_mismatch_low_k,103,10,80,True,1,0.01,True,0.0,0.0,0.08901184616540783,0.08901184616540783,0.0
parameter_mismatch_high_k,101,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
parameter_mismatch_high_k,101,10,80,True,1,0.01,True,0.0,0.0,0.08923912172847458,0.08923912172847458,0.0
parameter_mismatch_high_k,102,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
parameter_mismatch_high_k,102,10,80,True,1,0.01,True,0.0,0.0,0.08923912172847458,0.08923912172847458,0.0
parameter_mismatch_high_k,103,0,70,True,1,0.01,True,0.0,0.0,0.12,0.12,0.0
parameter_mismatch_high_k,103,10,80,True,1,0.01,True,0.0,0.0,0.08923912172847458,0.08923912172847458,0.0
