scope,windows,rank1_fraction,rank2_fraction,rank3_fraction,normalized_sigma1_median,normalized_sigma2_median,normalized_sigma3_median,physical_scaled_sigma1_median,physical_scaled_sigma2_median,physical_scaled_sigma3_median,raw_condition_median,physical_scale_condition_median,column_normalized_condition_median,weighted_residual_rms_median,physical_scaled_sigma_min_over_residual_rms_median,conditional_lambda_information_abs_median,conditional_lambda_information_ratio_median,abs_corr_lambda_kappa_median,abs_corr_lambda_beta_median,abs_corr_kappa_beta_median,lambda_1d_relative_width_median,lambda_kappa_2d_lambda_relative_width_median,lambda_kappa_2d_kappa_relative_width_median,profile_truth_inclusion_1d_fraction,profile_truth_inclusion_2d_fraction,profile_boundary_hit_fraction,profile_region_resolved_fraction,within_scope_stable_1d_subspace,within_scope_stable_2d_subspace,practical_identifiability
overall,710,1.0,1.0,1.0,1.3969645670689212,0.9356391359673569,0.3871083270181743,32.85725534267522,1.8115555954191702,0.4655348762617325,322.0173659395482,68.91242544597156,3.667245011886075,0.01471946087543141,24.146621678150794,3.252709271397258,0.8969158837884874,0.25791570839304656,0.2565071943854982,0.8395178661534008,0.03104053666062571,0.038073458739488794,0.012200760526509365,0.5633802816901409,0.008450704225352112,0.0,1.0,False,False,not established
clean,75,1.0,1.0,1.0,1.3875133387494833,0.9690695177419296,0.3282994455675021,32.970239752550576,1.9638628088828842,0.3716208703300834,300.09101919063863,87.68717663689323,4.266410607523391,0.005249386548937407,41.28023923020423,3.749224241156243,0.9641309792109276,0.1561421227158589,0.18928556514871395,0.8916655026402963,0.018635912707200133,0.022858295378675352,0.002939739604574117,0.72,0.0,0.0,1.0,False,False,not established
initial_theta_offset,87,1.0,1.0,1.0,1.4006868233190886,0.9412084963121102,0.44333898878479394,30.11528299952169,2.06652598088214,0.3493905758111704,402.0655088736903,80.91570991887339,3.0574920386752984,0.005885078769033382,61.66336175115509,4.067218687578446,0.9025706367666249,0.20843765078196622,0.2782282151880158,0.7955573628969945,0.01802215425116068,0.022105460405582228,0.002872238991038366,0.2413793103448276,0.0,0.0,1.0,False,False,not established
mass_mismatch,150,1.0,1.0,1.0,1.5503377673926728,0.6578633469303536,0.34403042253705607,36.12099813126091,0.3950098837254892,0.10272993010010259,417.4753833195773,365.12348111628864,4.099317617995112,0.0011613119224184406,38.2018623409362,0.15839267198562768,0.5256676360182164,0.6069901524008172,0.6706529349118402,0.880722141319114,0.032906823294746076,0.04036259217877432,0.0026548874921173016,0.14,0.0,0.0,1.0,False,False,not established
noise,79,1.0,1.0,1.0,1.396686386203683,0.9380029945403349,0.4114144479940842,35.9948336390367,1.8730310273382373,0.5583214958348419,212.1886690401587,60.7098776292935,3.5039428913720734,0.050762958406586,10.848585783259491,3.4926954310758775,0.9190949224470762,0.23083485771508894,0.2595146865526555,0.8100318963496981,0.13265938147471487,0.1627162871560061,0.026421025481050412,1.0,0.0,0.0,1.0,False,False,not established
noise_bias,73,1.0,1.0,1.0,1.3917312356495486,0.9330278367758464,0.4556467076745305,33.93127144242333,2.275059540389087,0.548749413365369,228.12407576922715,58.464924255242536,3.238564048461424,0.05172723805937454,11.019842309298248,4.823078146582266,0.9013425157837619,0.24881169645552065,0.25760188445115306,0.7913992708220542,0.10960830824928701,0.13444248710203105,0.026545435866620934,1.0,0.0,0.0,1.0,False,False,not established
parameter_mismatch_high_k,72,1.0,1.0,1.0,1.3875452045660968,0.9745295807644965,0.35341399654893857,23.861255771823465,1.6781193857694114,0.3639048711256655,349.49441785562135,56.99719357561947,3.916837384102571,0.002518355226661346,124.60340843788357,5.070978027821095,0.9667362798510126,0.13548984240098821,0.16289205799650125,0.8747181419285178,0.0068861342193630125,0.008446342108076765,0.0014096476655366327,0.4166666666666667,0.08333333333333333,0.0,1.0,False,False,not established
parameter_mismatch_low_k,84,1.0,1.0,1.0,1.3909317261198824,0.9565267531722497,0.37882416142515446,40.2409004790972,1.5219577599968317,0.3830726242883435,353.0988963155026,105.11569126582324,3.692036053877559,0.006718060213261923,41.7849748441804,2.324546944634844,0.941092522075622,0.18751874963812137,0.199210131880386,0.8525374203296132,0.024695216775362565,0.030290468814032294,0.00282999920372884,0.6071428571428571,0.0,0.0,1.0,False,False,not established
stronger_noise,90,1.0,1.0,1.0,1.3974769159396812,0.9016561166083261,0.4427737087795617,42.239278108206676,2.31481347453673,0.8586436253649508,126.40173137678583,48.31474207559813,3.1271895602062703,0.08678579850058886,9.565913536318,5.031928292210205,0.724278384592363,0.43378981745265693,0.33854649275101084,0.7195126660802852,0.18878351831480722,0.23155659051944336,0.04032276666407833,0.7888888888888889,0.0,0.0,1.0,False,False,not established
