variant,condition,family,horizon,alpha_enabled,scaled_variables,warmstart_mode,rho_L1,rho_L2,target_reached,final_theta_deg,T_reach,done_reason,solver_success_count,solver_failure_count,solver_failure_rate,fallback_would_count,fallback_would_rate,status_examples,iterations_mean,solve_time_mean,solve_time_max,objective_mean,dynamics_residual_max,dynamics_residual_mean,constraint_violation_max,constraint_violation_mean,alpha_slack_mean,alpha_slack_max,alpha_slack_active_count,first_F_tan_mean,first_F_rad_mean,first_action_diff_vs_cem_mean,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max,alpha_violation_duration_s,runtime_s,x_scale,u_scale,s_scale
baseline_cem,clean,baseline_cem,0,False,False,,nan,nan,True,90.14631852620893,2.06,target_reached,0,0,nan,0,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,5.190370737879354,6.017610310288631,6.4377998728048755,6.406885809845965,0.84,35.03800875000161,"nan,nan,nan,nan","nan,nan",nan
nmpc_no_alpha_basic,clean,nmpc_no_alpha_basic,18,False,False,shift,nan,nan,False,19.94534090921265,nan,omega_limit,2,0,0.0,0,0.0,Solve_Succeeded,9.5,0.034978041499925894,0.043763124998804415,341.8712950012821,3.7264459695762753e-07,1.214470178114345e-08,0.0,0.0,nan,nan,0,34.99997932722394,-0.0011769060130203195,nan,180.69373012401965,181.11027271769873,181.2144083661185,179.13169539772306,0.05,0.34012908400109154,"3.142,2,1,2","35,1",3
nmpc_no_alpha_short_N5,clean,nmpc_no_alpha_short_N5,5,False,False,shift,nan,nan,False,19.945345118249175,nan,omega_limit,2,0,0.0,0,0.0,Solve_Succeeded,7.0,0.020491145500272978,0.02127404099883279,334.8628271094446,2.104149565695934e-08,1.4703410860378297e-09,0.0,0.0,nan,nan,0,34.99999555818454,-0.0010846339224187631,nan,180.69379636348125,181.1103396641544,181.2144754893227,179.1317589859569,0.05,0.11969508300171583,"3.142,2,1,2","35,1",3
nmpc_no_alpha_short_N8,clean,nmpc_no_alpha_short_N8,8,False,False,shift,nan,nan,False,19.945347961101163,nan,omega_limit,2,0,0.0,0,0.0,Solve_Succeeded,7.0,0.0214360840000154,0.02221633400040446,341.4783176708153,1.343276423426687e-08,1.500055629407096e-09,0.0,0.0,nan,nan,0,34.99999483363929,-0.001178191814268321,nan,180.69382717378605,181.1103697281554,181.21450536674774,179.131792594901,0.05,0.1656747080014611,"3.142,2,1,2","35,1",3
nmpc_no_alpha_short_N10,clean,nmpc_no_alpha_short_N10,10,False,False,shift,nan,nan,False,19.94534825775424,nan,omega_limit,2,0,0.0,0,0.0,Solve_Succeeded,7.5,0.023273811999388272,0.02542491599888308,341.4829045580456,4.01466673238815e-08,2.572292189580855e-09,0.0,0.0,nan,nan,0,34.999994275561924,-0.0011767494538246865,nan,180.69383561258795,181.11037817673176,181.2145138177677,179.13180099704869,0.05,0.1944463750005525,"3.142,2,1,2","35,1",3
nmpc_cem_warmstart,clean,nmpc_cem_warmstart,18,False,False,cem,nan,nan,False,19.94534789498168,nan,omega_limit,2,0,0.0,0,0.0,Solve_Succeeded,7.5,0.024799625000014203,0.026058374998683576,341.8711768278084,2.658047515424755e-08,6.462258595808009e-10,0.0,0.0,nan,nan,0,34.99999660481933,-0.0011769064782092965,28.937795197949036,180.69382058096002,181.110363147929,181.21449878967127,179.13178595482628,0.05,1.291849416000332,"3.142,2,1,2","35,1",3
nmpc_alpha_slack_rho1,clean,nmpc_alpha_slack_rho1,18,True,False,no_alpha,1.0,nan,True,90.90417664923115,0.3900000000000002,target_reached,13,0,0.0,0,0.0,Solve_Succeeded,12.23076923076923,0.04336586223060014,0.06183541599966702,421.8913258811938,4.448870227768964e-08,5.746376085837948e-10,0.0,0.0,6.060168719133977,98.37951321809865,234,5.514932976493512,2.2143816321202104e-05,nan,67.65074792659412,69.50917973796342,70.10222636164563,68.5815939932297,0.31,1.816153875002783,"3.142,2,1,2","35,1",3
nmpc_alpha_slack_rho10,clean,nmpc_alpha_slack_rho10,18,True,False,no_alpha,10.0,nan,True,90.62741438275684,0.7000000000000004,target_reached,24,0,0.0,0,0.0,Solve_Succeeded,13.458333333333334,0.04699019258335587,0.06687308300024597,504.05601046314314,5.636423550114955e-08,7.164097657525525e-10,0.0,0.0,0.3251215081359822,71.39829522317142,432,4.6644146176099754,2.8214091330516752e-05,nan,11.79500875335873,47.65353160305482,48.51401129153946,47.284754593704264,0.56,3.18565395800033,"3.142,2,1,2","35,1",3
nmpc_alpha_slack_rho100,clean,nmpc_alpha_slack_rho100,18,True,False,no_alpha,100.0,nan,True,90.34518211048523,1.6400000000000012,target_reached,55,0,0.0,0,0.0,Solve_Succeeded,15.945454545454545,0.05475965081839769,0.10025354200115544,1845.8362615018593,3.4510517865626866e-07,2.766282073363431e-10,0.0,0.0,9.543312465877739e-08,2.4192995438114724e-07,990,5.31515312514579,1.0920636562881966e-05,nan,3.0511053368446746,3.2149580247372493,3.3080343800124714,3.2323968930725213,0.55,7.664479000002757,"3.142,2,1,2","35,1",3
nmpc_alpha_slack_rho1000,clean,nmpc_alpha_slack_rho1000,18,True,False,no_alpha,1000.0,nan,True,90.34514210714082,1.6400000000000012,target_reached,55,0,0.0,0,0.0,Solve_Succeeded,16.01818181818182,0.055386221309031085,0.08601420799823245,1845.8366392861342,4.4980301844299575e-07,1.6616339308480844e-09,0.0,0.0,8.082162268985976e-09,9.779309786440346e-09,0,5.315154325624174,1.0920776365895838e-05,nan,3.051105613127995,3.2149583094848353,3.308034653551764,3.232397172521659,0.55,7.679333416999725,"3.142,2,1,2","35,1",3
nmpc_scaled_variables,clean,nmpc_scaled_variables,18,True,True,no_alpha,100.0,nan,True,90.32758451480035,1.6400000000000012,target_reached,55,0,0.0,0,0.0,Solve_Succeeded,10.945454545454545,0.036696527218075724,0.056762167001579655,1.8462111578898603,9.78333924681607e-05,1.2655857205635578e-06,0.0,0.0,0.0001061077548513672,0.0002408433904636018,990,5.315802222722731,1.1078100593877532e-05,nan,3.0510986463369285,3.2149538338734946,3.308059810931951,3.2324229063768435,0.55,5.521646583001711,"3.142,2,1,2","35,1",3
